,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code
1,Peoria,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL
3,Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA
4,Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO
5,Mesa,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ
6,Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX
7,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX
8,Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL
9,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI
10,Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA
12,Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN
15,Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA
17,Murrieta,California,35.3,49363.0,60453.0,109816,7242.0,19875.0,3.3,CA
18,Brentwood,New York,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98,NY
19,Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA
20,Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO
22,Evanston,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL
24,Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA
26,Victorville,California,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47,CA
30,Largo,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL
32,Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3048.0,3482.0,2.36,MI
33,Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX
34,Richmond,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA
41,Newport Beach,California,46.8,43161.0,43970.0,87131,4847.0,15318.0,2.4,CA
